"Billmate Card","Billmate Kort"
"Billmate Cardpay","Billmate Kort"
"Enable Prompt Name","Visa namn i betalfönster"
"Enable 3D Secure","Aktivera 3D Secure"
"Sale", "Debitera belopp"
"Authorize Only", "Reservera belopp"
"Authorize Only = Authorize the money, debit later.<br/>Sale = Debit the money directly.", "Reservera belopp = Reservera beloppet, debitera senare. | Debitera belopp = Debitera pengarna direkt."
"The card payment has been canceled. Please try again or choose a different payment method.","Kortköpet avbröts innan det fullföljdes. Var vänlig prova igen eller välj ett annat betalalternativ."
"Unfortunately your card payment was not processed with the provided card details. Please try again or choose another payment method.","Dessvärre gick det inte att genomföra kortköpet med de uppgifter ni tillhandahållit. Var vänlig försök igen eller välj ett annat betalsätt."
