"Billmate Bankpay","Billmate Bankbetalning"
"Billmate Bank","Billmate Bankbetalning"
"The bank payment has been canceled. Please try again or choose a different payment method.","Bankbetalningen avbröts innan det fullföljdes. Var vänlig prova igen eller välj ett annat betalalternativ."
"Unfortunately your bank payment was not processed with the provided bank details. Please try again or choose another payment method.","Dessvärre gick det inte att genomföra bankbetalningen med de uppgifter ni tillhandahållit. Var vänlig försök igen eller välj ett annat betalsätt."

